Epoch,Train Loss,Val Loss
1,24442.5173,16801.8216
2,13415.075,11761.8371
3,8739.4175,10943.4275
4,7204.6213,10469.4075
5,5897.8413,9833.5495
6,5144.4847,10102.4126
7,4702.5116,8779.5543
8,4182.5826,9299.8662
9,3830.1512,9073.0149
10,3433.0505,9707.5247
11,3134.7498,9485.7227
12,2399.157,7968.6241
13,2018.6451,8056.1445
14,1736.0337,7923.3146
15,1616.8931,7798.1273
16,1544.7347,7797.0999
17,1402.8672,7882.9362
18,1332.067,7917.2551
19,1287.0418,7893.2679
20,1222.655,8190.0839
21,1219.3329,7843.8493
22,1167.8758,7873.1137
23,1179.6945,7876.2441
24,1234.4932,8069.6516
25,1180.4689,7846.1401
