Epochs,Batch Size,Learning Rate,Regularization Strength,Validation Loss
25,16,0.0001,0.001,7797.0999
25,16,0.0001,0.01,7848.9911
50,16,0.0001,0.1,7876.4197
50,16,0.0001,0.001,8087.3229
25,16,0.0001,0.1,8203.5465
50,16,0.0001,0.01,8396.8862
10,16,0.0001,0.001,8950.1410
10,16,0.0001,0.01,9369.6615
10,16,0.0001,0.1,9627.2289
50,16,0.001,0.1,10080.6763
25,16,0.001,0.001,10201.0106
25,16,0.001,0.1,10971.0100
25,16,0.001,0.01,12089.1297
50,16,0.01,0.01,14249.9477
50,16,0.01,0.001,14414.9906
25,32,0.0001,0.01,14952.4508
50,32,0.0001,0.001,14957.1834
25,32,0.0001,0.001,15079.3017
25,16,0.01,0.01,15380.0380
50,32,0.001,0.01,15498.3279
50,32,0.0001,0.01,15769.5996
50,32,0.0001,0.1,16042.6399
25,16,0.01,0.001,16406.7011
50,16,0.01,0.1,16568.1604
10,32,0.0001,0.01,16582.7650
50,32,0.001,0.001,16598.7801
25,32,0.0001,0.1,16789.8033
50,32,0.001,0.1,17308.4415
25,32,0.001,0.001,18169.7872
10,32,0.0001,0.1,18180.7873
25,16,0.01,0.1,18224.8177
10,32,0.0001,0.001,18320.7415
25,32,0.001,0.01,19114.0858
25,32,0.001,0.1,19359.4017
10,16,0.001,0.1,19936.7003
10,16,0.01,0.001,20008.4063
10,16,0.001,0.01,20215.4582
10,16,0.01,0.1,20390.1083
10,16,0.01,0.01,20785.1230
10,16,0.001,0.001,21537.0593
50,16,0.001,0.001,21543.7634
10,32,0.001,0.01,21991.9488
50,32,0.01,0.001,24190.0099
50,32,0.01,0.01,24948.9850
25,32,0.01,0.001,25827.3066
25,32,0.01,0.01,27370.2316
25,32,0.01,0.1,27486.8197
10,32,0.001,0.001,29315.7725
50,16,0.001,0.01,30732.2770
25,64,0.0001,0.001,31345.0014
50,64,0.001,0.01,31401.7070
25,64,0.0001,0.01,31571.4702
50,64,0.001,0.001,31611.1099
50,64,0.0001,0.1,32018.6468
50,64,0.0001,0.001,32155.8849
10,32,0.001,0.1,32809.8512
25,64,0.0001,0.1,33055.5206
50,64,0.0001,0.01,33092.0869
25,64,0.001,0.001,33197.4990
10,64,0.0001,0.001,33972.7410
50,32,0.01,0.1,33973.4363
25,64,0.001,0.1,34180.7257
10,64,0.0001,0.01,34302.3140
25,64,0.001,0.01,34648.0379
10,64,0.0001,0.1,34759.6215
50,64,0.001,0.1,38073.6947
10,32,0.01,0.01,39827.9073
10,32,0.01,0.001,39927.3971
10,64,0.001,0.001,42564.9806
10,32,0.01,0.1,42675.9292
10,64,0.001,0.1,43077.6812
50,64,0.01,0.001,44643.3586
50,64,0.01,0.01,46247.1439
10,64,0.001,0.01,47283.9023
25,64,0.01,0.01,50201.6240
25,64,0.01,0.001,51709.4635
25,64,0.01,0.1,55699.3219
50,64,0.01,0.1,56026.1037
10,64,0.01,0.01,72223.8725
10,64,0.01,0.001,79447.5144
10,64,0.01,0.1,84239.3856
